news_id,ticker_url,title,link,published_date,company,event,reason,publisher,industry,publisher_topic,instrument_id,yf_ticker,published_date_gmt,timezone,publisher_summary,predicted_side,predicted_move,content,language,begin_price,end_price,index_begin_price,index_end_price,price_change,price_change_percentage,index_price_change,index_price_change_percentage,daily_alpha,actual_side,volume,market
77899.0,https://finance.yahoo.com/quote/NQ=F,public offering ab civinity bond,https://view.news.eu.nasdaq.com/view?id=bf4c1cd32b251f341cc1c9bceabba8138&lang=en&src=notices,2025-06-25 12:43:20+00:00,Nasdaq Riga,bond_fixing,"The predicted downward move of -0.25% for AB Civinity bonds may be attributed to market uncertainties surrounding the public offering and investor apprehensions regarding interest rate fluctuations. This decline could lead to reduced investor confidence, possibly affecting future bond demand and pricing in the market. Additionally, a weak market response to the offering might indicate broader challenges for similar asset-backed securities in the Baltic region.",baltics,biotech,European Regulatory News,1213.0,NQ=F,2025-06-25 09:43:20+00:00,EET,Company Announcement,DOWN,-0.2509307089155375,25 000 bond ab civinity publicly offer investor lithuania latvia estonia subscription order collection deadline differ depend investor s choose bank brokerage company investor contact broker concern specific order collection deadline investor wish submit subscription order contact bank brokerage company public offering document available attachment english language session 1 july 2025 10 00 cest 11 00 vilnius time register advance attend webinar registration zoom civinity urban lifestyle company bring build maintenance service engineering technology solution business baltic state uk group consist 30 company 1 600 employee 2024 company s revenue eur 88 500 000 pro forma ebitda eur 7 400 000 nasdaq baltic transaction service 370 5,en,22412.0,22461.0,607.9099731445312,607.1199951171875,49.0,0.2186328752454042,-0.78997802734375,-0.1299498383383047,0.3485827135837089,UP,397611.0,regular_market
51155.0,https://finance.yahoo.com/quote/VLA.PA/,valneva publie ses résultat financier 2024 et fait un point sur son activité et ses perspective financière,https://live.euronext.com/fr/products/equities/company-news/2025-03-20-valneva-publie-ses-resultats-financiers-2024-et-fait,2025-03-20 07:00:00+00:00,VALNEVA SE,financial_results,"The predicted upward move of +1.88% for Valneva SE is likely due to strong financial performance including revenue growth and a solid cash position. Positive clinical developments anticipated for 2025 may further boost investor confidence, leading to increased demand for shares. This could indicate a favorable outlook for the vaccine sector, attracting more investors and potentially enhancing the company's market valuation.",euronext,20103015 Pharmaceuticals,Other subject,1088.0,VLA.PA,2025-03-20 06:00:00+00:00,Europe/Paris,Company Announcement,UP,1.879650753671324,20 mar 2025 07 00 cet valneva se atteinte des objectifs 2024 de croissance des vente vs 2023 et de chiffre d affaire vs 2023 solide position de trésorerie de 168 3 million d euro à fin 2024 incluant les produit de la vente du bon de revue prioritaire prv 1 et du placement privé ainsi qu une réduction de 67 de la consommation de trésorerie d exploitationavancées clinique et réglementaire substantielle en 2024 nouveaux résultat clinique approbation de produit et potentiel élargissement d indication attendus en 2025les perspective 2025 incluent une croissance solide du chiffre d affaire et des flux de trésorerie commerciaux positif permettant le soutien des investissement stratégique en r d ainsi qu une réduction de la consommation de trésorerie d exploitation saint herblain france 20 mar 2025 valneva se nasdaq valn euronext paris vla société spécialisée dans les vaccin publié aujourd hui ses résultat financier annuel,fr,3.181999921798706,3.299999952316284,567.1300048828125,563.3300170898438,0.1180000305175781,3.708360572519299,-3.79998779296875,-0.6700382205582566,4.378398793077555,UP,2142180.0,pre_market
60854.0,https://finance.yahoo.com/quote/KULR,publishing financial report,https://view.news.eu.nasdaq.com/view?id=b11539aa5c0b611b40aa0955af04855ff&lang=en&src=listed,2025-04-30 14:06:07+00:00,Rīgas kuģu būvētava,annual_report,"The predicted downward move of -0.02% likely stems from the prolonged delay in auditing the financial report for 2023, which raises concerns about transparency and operational issues. This situation could lead to decreased investor confidence and potential negative sentiment in the market, impacting the company’s stock performance and attracting scrutiny from stakeholders. Timely publication of the audited report is crucial for regaining trust and stabilizing market",omx,biotech,Financial Statement Release,1104.0,KULR,2025-04-30 14:06:07+00:00,UTC,Company Announcement,UP,-0.0190729682028704,rīgas kuģu būvētava company declare manage prevent reason indicate announcement april 30th 2024 june 12th 2024 july 23rd 2024 august 30th 2024 october 04th 2024 january 16th 2025 february 28th 2025 april 03rd 2025 audited financial report 2023 publish company confirm actively close cooperation auditor take possible measure complete audit financial report 2023 soon possible approve audited financial report 2023 extraordinary shareholder meeting accord measure take date company intend publish audited financial report 2023 2025 company inform time auditing financial report 2023 initiate preparation financial report 2024 note preparation financial report,en,9.920000076293944,10.0,547.5700073242188,554.5399780273438,0.0799999237060546,0.8064508376086847,6.969970703125,1.272891248588429,-0.4664404109797442,UP,764350.0,regular_market
16504.0,https://www.google.com/finance/quote/IMMP:NASDAQ,immutep complete patient enrolment randomise phase ii aipac 003 trial metastatic breast cancer,https://www.globenewswire.com/news-release/2024/10/03/2957652/0/en/Immutep-Completes-Patient-Enrolment-in-Randomised-Phase-II-of-AIPAC-003-Trial-in-Metastatic-Breast-Cancer.html,2024-10-03 08:00:00+00:00,Immutep,clinical_study,"The predicted downward move of -10.35% for ""Media Release"" may be due to weak earnings or negative industry trends. This could deter investors, potentially reducing market confidence and lowering the asset's valuation further.",globenewswire_biotech,biotech,Press releases,352.0,IMMP,2024-10-03 12:00:00+00:00,US/Eastern,Media Release,UP,-0.1035387908885171,medium release,en,2.119999885559082,2.140000104904175,568.8599853515625,567.3599853515625,0.0200002193450927,0.9434066238083006,-1.5,-0.2636852720574082,1.2070918958657089,UP,86100.0,pre_market
39155.0,https://finance.yahoo.com/quote/AFG.OL/,build retirement home eskilstuna,https://live.euronext.com/en/products/equities/company-news/2025-01-29-building-retirement-home-eskilstuna,2025-01-29 12:30:00+00:00,AF GRUPPEN,business_contracts,"The predicted upward move of +1.12% for AF Gruppen may be due to securing the significant SEK 138 million contract for care homes in Eskilstuna, highlighting future revenue potential. This project enhances their portfolio, boosting investor confidence and potentially attracting more business, which can positively impact the market perception of AF Gruppen.",euronext,50101010 Construction,Non-regulatory press releases,562.0,AFG.OL,2025-01-29 11:30:00+00:00,Europe/Paris,Company Announcement,UP,1.11574272002043,29 jan 2025 12 30 cet af gruppen asa hmb subsidiary af gruppen commission build care home eskilstuna behalf eskilstuna kommunfastigheter ab project carry turnkey contract contract value sek 138 million exclude vat care home name gillet 1 consist story residential building 72 studio apartment building include communal kitchen living room staff room garage additionally common area feature gym spa large kitchen restaurant pleasant inner courtyard walkway seat area barbecue area create attractive living environment elderly pleased contribute community development eskilstuna create new modern care home extensive good experience similar project say bård frydenlund executive vice president sweden af gruppen construction schedule t,en,154.39999389648438,155.39999389648438,603.719970703125,601.8099975585938,1.0,0.6476684193850668,-1.90997314453125,-0.3163673950203753,0.9640358144054422,UP,43536.0,regular_market
71562.0,https://finance.yahoo.com/quote/NQ=F,pn project launch second tranche bond annual interest rate,https://view.news.eu.nasdaq.com/view?id=bf6827383a8e3a9a6c4da567c92afb6fd&lang=en&src=notices,2025-06-06 09:06:51+00:00,Nasdaq Riga,bond_fixing,"The predicted downward move of -0.16% likely results from concerns over rising interest rates affecting bond attractiveness. This may lead to reduced investor demand for the bonds. Additionally, market sentiment can be cautious due to the economic outlook, impacting real estate valuations and investment interest. Investors may seek higher returns elsewhere, influencing liquidity and pricing in the bond market.",baltics,biotech,European Regulatory News,1213.0,NQ=F,2025-06-06 06:06:51+00:00,EET,Company Announcement,DOWN,-0.1560550719094304,real estate developer pn project launch second tranche bond programme support ongoing development prese nama kvartāls business centre riga new issue target eur 5 million offer annual interest rate pay semi annually minimum investment bond offering bond issue price eur 1 006 0274 nominal value eur 1 000 bond mature 4 june 2027 offer period run 6 june 20 june 2025 issue date 26 june 2025 additional tranche initiate response continue investor interest accommodate unable participate previous stage programme issuance arrange artea bank šiaulių bankas orion security uab redgate capital act sale agent bond secure mortgage prese nama kvartāls real estate value eur 62 6 million 30 september 2024 fund wi,en,21582.25,21471.0,593.0499877929688,598.6599731445312,-111.25,-0.5154698884499994,5.6099853515625,0.9459548886325788,-1.4614247770825783,DOWN,466591.0,pre_market
63757.0,https://www.google.com/finance/quote/BCAX:NASDAQ,bicara therapeutic present update datum ongoing phase 1 1b trial ficerafusp alfa 1l r m hnscc 2025 american society clinical oncology asco annual meeting,https://www.globenewswire.com/news-release/2025/04/23/3066545/0/en/Bicara-Therapeutics-to-Present-Updated-Data-from-Ongoing-Phase-1-1b-Trial-of-Ficerafusp-alfa-in-1L-R-M-HNSCC-at-the-2025-American-Society-of-Clinical-Oncology-ASCO-Annual-Meeting.html,2025-04-23 10:00:00+00:00,Bicara Therapeutics,clinical_study,"The predicted upward move of +2.28% is likely due to the upcoming oral presentation of promising Phase 1/1b trial data for ficerafusp alfa at ASCO, which may enhance investor confidence. Positive trial results could increase interest and investment in Bicara Therapeutics, potentially influencing the broader biopharmaceutical market focused on innovative cancer therapies.",globenewswire_biotech,biotech,Clinical Study,747.0,BCAX,2025-04-23 14:00:00+00:00,US/Eastern,"BOSTON, April  23, 2025  (GLOBE NEWSWIRE) -- Bicara Therapeutics Inc. (Nasdaq: BCAX), a clinical-stage biopharmaceutical company committed to bringing transformative bifunctional therapies to patients with solid tumors, today announced that updated data from the company’s ongoing Phase 1/1b clinical trial of ficerafusp alfa in 1L (first line) recurrent/metastatic (R/M) head and neck squamous cell carcinoma (HNSCC) will be highlighted in an oral presentation at the 2025 American Society of Clinical Oncology (ASCO) Annual Meeting, which will be held from May 30-June 3, 2025 in Chicago, IL. Ficerafusp alfa is a first-in-class bifunctional antibody that combines two clinically validated targets: an epidermal growth factor receptor (EGFR) directed monoclonal antibody with a domain that binds to human transforming growth factor beta (TGF-β) and is being evaluated across multiple solid tumor types.",UP,2.2794707185146974,boston april 23 2025 globe newswire bicara therapeutics inc nasdaq bcax clinical stage biopharmaceutical company commit bring transformative bifunctional therapy patient solid tumor today announce update datum company s ongoing phase 1 1b clinical trial ficerafusp alfa 1l line recurrent metastatic r m head neck squamous cell carcinoma hnscc highlight oral presentation 2025 american society clinical oncology asco annual meeting hold 30 june 3 2025 chicago il ficerafusp alfa class bifunctional antibody combine clinically validate target epidermal growth factor receptor egfr direct monoclonal antibody domain bind human transforming growth factor beta tgf β evaluate multiple solid tumor type,en,14.100000381469728,15.510000228881836,540.4299926757812,535.4199829101562,1.4099998474121094,6.4954730001398815,-5.010009765625,-0.9270413991679848,6.382136668327337,UP,1175800.0,regular_market
23742.0,https://finance.yahoo.com/quote/PSH.AS/,pershe square holdings ltd announce directorate change,https://live.euronext.com/en/products/equities/company-news/2024-11-08-pershing-square-holdings-ltd-announces-directorate-change,2024-11-08 14:41:00+00:00,PERSHING SQUARE HOLDING,management_changes,"The predicted downward move of -0.24% for Pershing Square Holdings Ltd. likely stems from the retirement announcement of long-serving director Nicholas Botta, which may introduce uncertainty. Market implications could include cautious investor sentiment regarding leadership transition.",euronext,30204000 Closed End Investments,Other subject,708.0,PSH.AS,2024-11-08 13:41:00+00:00,Europe/Paris,Company Announcement,UP,-0.2386982695676417,08 nov 2024 14 41 cet pershe square holdings ltd regulatory news pershe square holdings ltd ln psh ln pshd na psh psh today announce nicholas botta inform board decision retire director company effect 15 november 2024 director 2012 mr botta continue vice chairman pershe square capital management l p investment manager nomination committee subsequently recommend appointment halit coussin chief legal officer chief compliance officer investment manager board non executive director ms coussin join board effect 15 november 2024 rupert morley chairman board say nick serve psh s board inception behalf entire board like thank contribution year delighted welcome halit board psh appreciate v,en,47.0,46.45000076293945,596.1699829101562,598.1900024414062,-0.5499992370605469,-1.1702111426820143,2.02001953125,0.3388328143241019,-1.5090439570061165,DOWN,41365.0,regular_market
42481.0,https://finance.yahoo.com/quote/VIV.PA/,vivendi point sur le régime fiscal des action canal détenue en pea,https://live.euronext.com/fr/products/equities/company-news/2025-02-11-vivendi-point-sur-regime-fiscal-actions-canal-detenues-en,2025-02-11 12:40:00+00:00,VIVENDI SE,regulatory_filings,The predicted downward move of -0.49% is likely due to uncertainties around the tax status of Canal+ shares within PEA accounts. This could lead to investor caution. Market implications may include reduced trading volume or fluctuations in share prices.,euronext,40301035 Radio and TV Broadcasters,Other subject,846.0,VIV.PA,2025-02-11 11:40:00+00:00,Europe/Paris,Company Announcement,DOWN,-0.4877939830779707,11 feb 2025 12 40 cet vivendi se regulatory news alertés sur les difficultés rencontrées par les actionnaire avec certain établissement financier teneur de comptes pea et face aux diverse prise de position de ce établissement dans leur communication avec leurs client vivendi paris viv confirme le régime fiscal des titre canal détenus dans un pea par courrier en date des 17 janvier et 31 janvier 2025 le service de la sécurité juridique et du contrôle fiscal de la direction générale des finance publique validé l analyse de vivendi selon laquelle la circonstance que la société canal fasse l objet d une cotation à la bourse de londre et les particularités des transaction qui en découlent n est pas de nature à remettre en cause les condition de fonctionnement du pea dans le cadre duquel les action sont détenue et de priver les titulaire des action en cause de la possibilité de bénéfici des avantage fiscaux afférent à cet instrume,fr,2.880000114440918,2.9609999656677246,602.5499877929688,605.3099975585938,0.0809998512268066,2.8124947225056203,2.760009765625,0.4580549035830894,2.354439818922531,UP,2314107.0,regular_market
74244.0,https://www.google.com/finance/quote/EYEN:NASDAQ,eyenovia announce 50 million investment launch hyperliquid hype token cryptocurrency treasury reserve strategy,https://www.globenewswire.com/news-release/2025/06/17/3101041/0/en/Eyenovia-Announces-50-Million-Investment-to-Launch-a-Hyperliquid-HYPE-token-Cryptocurrency-Treasury-Reserve-Strategy.html,2025-06-17 14:55:00+00:00,Eyenovia,financing_agreements,"The predicted downward move of -13.35% likely results from market concerns about dilution due to the private placement. This could erode existing shareholder value and reduce confidence in the company's financial stability. Increased selling pressure may follow, potentially impacting broader market sentiment.",globenewswire_biotech,biotech,Major shareholder announcements,257.0,EYEN,2025-06-17 18:55:00+00:00,US/Eastern,Announces private placement,UP,-13.34606049683654,announce private placement,en,3.059999942779541,6.96999979019165,600.2100219726562,597.530029296875,3.909999847412109,6.4954730001398815,-2.67999267578125,-0.446509151408895,6.382136668327337,UP,29938045.0,regular_market
